rAGN;rHII;rPDR;Ssil;EW62;0_30;31_150;151_225;226_300;maior_300;
3C293;0,713;0,320;0,287;0,252;0,004;0,251;0,107;0,822;0,547;0,495
AGN15;0,407;0,789;0,240;0,296;0,004;0,267;0,107;0,823;0,543;0,488
EIRS-13;0,316;0,353;0,735;0,038;1,000;0,270;0,108;0,818;0,554;0,481
EIRS-2;0,116;0,557;0,793;0,076;0,303;0,271;0,108;0,812;0,569;0,473
EIRS-41;0,544;0,493;0,337;-0,052;0,006;0,262;0,101;0,809;0,608;0,460
GN26;0,266;0,256;0,880;0,151;0,016;0,268;0,107;0,797;0,623;0,445
IRAS_00091-0738;0,292;0,812;0,357;0,824;0,000;0,254;0,112;0,797;0,625;0,445
IRAS_00482-2721;0,374;0,622;0,427;0,453;0,014;0,281;0,106;0,762;0,714;0,399
IRAS_01166-0844;0,353;0,783;0,310;0,750;-0,001;0,256;0,101;0,703;0,886;0,338
IRAS_01298-0744;0,486;0,432;0,459;1,000;-0,001;0,274;0,109;0,706;0,851;0,341
IRAS_01355-1814;0,249;0,955;0,281;0,547;0,009;0,315;0,121;0,757;0,689;0,379
IRAS_01569-2939;0,379;0,662;0,385;0,579;0,002;0,296;0,117;0,728;0,600;0,517
IRAS_03250+1606;0,274;0,515;0,642;0,300;0,265;0,308;0,130;0,763;0,650;0,397
IRAS_10035+2740;0,177;0,770;0,532;0,442;0,577;0,281;0,114;0,693;0,588;0,587
IRAS_10190+1322;0,242;0,382;0,797;0,213;0,253;0,311;0,126;0,789;0,628;0,390
IRAS_10494+4424;0,323;0,330;0,746;0,324;0,023;0,330;0,124;0,768;0,619;0,416
IRAS_11028+3130;0,379;0,581;0,456;0,488;0,012;0,321;0,114;0,672;0,562;0,611
IRAS_11130-2659;0,414;0,597;0,398;0,673;0,004;0,331;0,114;0,632;0,546;0,669
IRAS_11387+4116;0,236;0,519;0,683;0,207;0,022;0,378;0,120;0,639;0,570;0,598
IRAS_11506+1331;0,466;0,517;0,409;0,532;0,011;0,460;0,123;0,568;0,529;0,666
IRAS_13335-2612;0,260;0,464;0,703;0,249;0,260;0,514;0,143;0,500;0,512;0,697
IRAS_13539+2920;0,289;0,378;0,745;0,290;0,024;0,485;0,159;0,485;0,524;0,693
IRAS_15206+3342;0,374;0,717;0,341;0,126;0,014;0,444;0,166;0,489;0,549;0,681
IRAS_15225+2350;0,437;0,665;0,312;0,506;0,004;0,418;0,167;0,520;0,567;0,640
IRAS_16090-0139;0,570;0,370;0,415;0,540;0,002;0,406;0,161;0,534;0,586;0,623
IRAS_16468+5200;0,413;0,649;0,355;0,530;0,003;0,375;0,159;0,551;0,592;0,619
IRAS_16474+3430;0,290;0,465;0,666;0,282;0,248;0,384;0,161;0,582;0,637;0,529
IRAS_17028+5817;0,254;0,438;0,732;0,308;0,253;0,653;0,176;0,342;0,557;0,706
IRAS_17068+4027;0,424;0,562;0,419;0,394;0,005;0,662;0,143;0,299;0,483;0,880
IRAS_20414-1651;0,277;0,564;0,595;0,407;0,022;0,685;0,146;0,299;0,518;0,827
IRAS_21208-0519;0,246;0,523;0,668;0,243;0,312;0,796;0,207;0,380;0,670;0,408
IRAS_21329-2346;0,399;0,433;0,563;0,524;0,008;0,761;0,212;0,391;0,699;0,381
IRAS_22206-2715;0,311;0,536;0,578;0,345;0,274;0,399;0,167;0,615;0,663;0,445
IRAS_22491-1808;0,213;0,755;0,502;0,297;0,018;0,408;0,172;0,648;0,698;0,356
IRAS_23129+2548;0,424;0,485;0,488;0,619;0,002;0,409;0,171;0,638;0,701;0,368
IRAS_23234+0946;0,321;0,710;0,412;0,433;0,017;0,609;0,188;0,337;0,586;0,689
IRAS02021-2103;0,198;0,976;0,322;0,312;0,015;0,621;0,205;0,375;0,645;0,550
IRAS02480-3745;0,314;0,424;0,673;0,296;0,295;0,504;0,173;0,314;0,536;0,858
IRAS03209-0806;0,310;0,580;0,541;0,188;0,018;0,495;0,189;0,338;0,589;0,757
IRAS04074-2801;0,460;0,473;0,455;0,680;0,003;0,401;0,187;0,333;0,592;0,823
IRAS05020-2941;0,429;0,390;0,565;0,547;0,006;0,387;0,163;0,287;0,518;1,000
IRAS08474+1813;0,343;0,469;0,599;0,431;0,012;0,390;0,160;0,595;0,648;0,501
IRAS08591+5248;0,315;0,362;0,728;0,162;0,024;0,508;0,218;0,376;0,731;0,518
IRAS10594+3818;0,306;0,395;0,709;0,178;0,024;0,493;0,222;0,378;0,726;0,524
IRAS12447+3721;0,357;0,554;0,506;0,261;0,011;0,447;0,208;0,360;0,682;0,640
IRAS13106-0922;0,572;0,092;0,659;0,505;0,001;0,427;0,194;0,345;0,593;0,777
IRAS14121-0126;0,417;0,324;0,639;0,297;0,015;0,485;0,216;0,392;0,711;0,534
IRAS14197+0813;0,214;0,763;0,494;0,166;0,016;0,473;0,222;0,393;0,714;0,528
IRAS14202+2615;0,624;0,219;0,484;0,138;0,010;0,463;0,225;0,389;0,710;0,536
IRAS14485-2434;0,545;0,399;0,418;0,266;0,007;0,451;0,211;0,369;0,642;0,656
IRAS15043+5754;0,260;0,406;0,755;0,247;0,020;0,433;0,199;0,349;0,641;0,715
IRAS21477+0502;0,262;0,850;0,358;0,175;0,018;0,447;0,209;0,369;0,637;0,668
IRAS22088-1831;0,319;0,754;0,375;0,605;0,004;0,471;0,224;0,399;0,666;0,562
M-2-33-34;0,416;0,662;0,341;0,082;0,005;0,463;0,184;0,405;0,724;0,579
M-2-40-4;0,837;0,211;0,234;0,033;0,002;0,462;0,220;0,396;0,735;0,516
M-5-13-17;0,553;0,478;0,338;0,050;0,005;0,433;0,168;0,616;0,682;0,403
MIPS15928;0,318;0,969;0,187;-0,028;0,008;0,419;0,165;0,577;0,647;0,498
MIPS8342;0,378;0,862;0,210;-0,015;0,008;0,499;0,202;0,417;0,792;0,444
MIPS8521;0,780;0,259;0,260;0,497;-0,001;0,419;0,165;0,577;0,647;0,498
Mrk1066;0,327;0,699;0,415;0,139;0,009;0,682;0,200;0,393;0,653;0,491
Mrk273;0,485;0,599;0,314;0,476;0,006;0,664;0,170;0,345;0,579;0,684
Mrk334;0,443;0,485;0,465;0,044;0,012;0,434;0,171;0,573;0,665;0,465
Mrk471;0,363;0,430;0,609;0,029;0,012;0,447;0,188;0,542;0,653;0,475
Mrk52;0,097;0,966;0,454;0,019;0,253;0,668;0,146;0,317;0,532;0,802
Mrk609;0,308;0,436;0,670;0,034;0,018;0,634;0,128;0,285;0,500;0,925
Mrk622;0,214;1,000;0,284;0,015;0,014;0,645;0,138;0,294;0,548;0,845
Mrk883;0,361;0,723;0,352;0,060;0,015;0,611;0,140;0,306;0,610;0,791
Mrk938;0,323;0,370;0,710;0,297;0,018;0,595;0,137;0,297;0,506;0,915
NGC1056;0,255;0,196;0,944;0,041;0,029;0,461;0,176;0,579;0,690;0,409
NGC1097;0,368;0,188;0,816;0,021;0,017;0,664;0,157;0,338;0,563;0,731
NGC1125;0,387;0,597;0,432;0,262;0,014;0,615;0,157;0,346;0,553;0,762
NGC1222;0,095;0,779;0,622;0,085;0,281;0,653;0,182;0,397;0,609;0,579
NGC1365;0,494;0,662;0,247;-0,007;0,004;0,634;0,200;0,406;0,630;0,527
NGC1566;0,564;0,166;0,602;0,043;0,010;0,586;0,200;0,395;0,619;0,581
NGC2146;0,102;0,415;0,936;0,214;0,303;0,488;0,171;0,560;0,641;0,469
NGC2273;0,482;0,586;0,328;0,073;0,005;0,569;0,181;0,413;0,610;0,613
NGC2623;0,215;0,605;0,631;0,385;0,019;0,548;0,179;0,419;0,600;0,631
NGC2639;0,689;0,090;0,521;0,097;0,010;0,468;0,164;0,527;0,608;0,566
NGC2992;0,576;0,491;0,300;0,074;0,007;0,515;0,157;0,499;0,587;0,604
NGC3031;0,931;0,000;0,308;0,011;0,001;0,641;0,163;0,446;0,567;0,597
NGC3227;0,644;0,462;0,245;0,074;0,005;0,563;0,186;0,449;0,623;0,550
NGC3256;0,121;0,779;0,591;0,089;0,024;0,540;0,173;0,437;0,591;0,632
NGC3511;0,171;0,250;1,000;0,065;0,323;0,501;0,212;0,457;0,638;0,519
NGC3556;0,162;0,414;0,866;0,112;0,022;0,509;0,164;0,416;0,569;0,713
NGC3628;0,171;0,322;0,936;0,412;0,251;0,446;0,162;0,423;0,570;0,747
NGC3786;0,587;0,351;0,411;0,042;0,007;0,507;0,151;0,409;0,540;0,774
NGC3982;0,283;0,312;0,810;0,040;0,018;0,444;0,224;0,480;0,696;0,450
NGC4088;0,154;0,533;0,769;0,113;0,024;0,533;0,150;0,413;0,506;0,786
NGC4388;0,571;0,519;0,280;0,202;0,004;0,393;0,181;0,527;0,715;0,484
NGC4501;0,798;0,031;0,441;0,116;0,001;0,412;0,175;0,572;0,718;0,424
NGC4579;0,967;0,000;0,265;-0,048;0,005;0,499;0,147;0,404;0,511;0,821
NGC4594;0,842;0,000;0,415;-0,022;0,001;0,415;0,171;0,578;0,737;0,405
NGC4676;0,148;0,386;0,906;0,180;0,266;0,503;0,155;0,434;0,543;0,736
NGC4945;0,192;0,386;0,853;0,853;0,016;0,461;0,155;0,459;0,552;0,723
NGC5033;0,403;0,161;0,802;0,069;0,017;0,407;0,153;0,475;0,558;0,736
NGC5135;0,315;0,415;0,680;0,131;0,016;0,372;0,152;0,502;0,558;0,725
NGC5194;0,337;0,208;0,839;0,023;0,018;0,409;0,168;0,579;0,740;0,409
NGC5929;0,240;0,636;0,575;0,097;0,000;0,403;0,162;0,583;0,739;0,420
NGC5953;0,023;0,684;0,793;0,073;0,021;0,400;0,163;0,566;0,710;0,467
NGC6810;0,305;0,459;0,653;0,070;0,019;0,304;0,136;0,505;0,501;0,845
NGC6890;0,544;0,414;0,407;0,026;0,007;0,423;0,174;0,601;0,765;0,339
NGC7130;0,318;0,747;0,381;0,128;0,012;0,414;0,179;0,602;0,773;0,327
NGC7252;0,105;0,375;0,967;0,035;0,264;0,311;0,140;0,557;0,576;0,702
NGC7469;0,474;0,496;0,417;0,051;0,012;0,315;0,153;0,652;0,655;0,485
NGC7496;0,281;0,765;0,411;0,054;0,016;0,304;0,143;0,679;0,605;0,521
NGC7582;0,485;0,301;0,578;0,234;0,011;0,330;0,141;0,721;0,584;0,475
NGC7603;1,000;0,000;0,225;-0,046;0,002;0,316;0,140;0,728;0,584;0,476
NGC7714;0,122;0,866;0,512;-0,014;0,282;0,306;0,138;0,737;0,579;0,482
SST172458.3+591545;0,814;0,161;0,307;0,338;0,004;0,281;0,119;0,763;0,538;0,536
SWIRE4_J105840.62+582124.7;0,158;0,525;0,770;0,048;0,022;0,257;0,204;0,624;0,505;0,603
SWIRE4_J105943.83+572524.9;0,457;0,517;0,421;0,518;0,008;0,261;0,157;0,768;0,559;0,457
UGC12138;0,631;0,507;0,220;0,037;0,004;0,252;0,110;0,809;0,562;0,491
UGC5101;0,495;0,415;0,464;0,420;0,008;0,271;0,106;0,821;0,537;0,496
;;;;;;;;;;
MEDIA;0,384;0,493;0,528;0,241;0,064;0,445;0,161;0,524;0,619;0,579
;;;;;;;;;;
DESVIO;0,195;0,226;0,205;0,223;0,139;0,127;0,033;0,159;0,079;0,151
